"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#untitledunmastered in stores now + all digital formats. https://t.co/u6c0OnuqiI https://t.co/wcXdwzIzIX",FALSE,4982,NA,2016-03-22 18:39:19,FALSE,NA,"712347945387950081",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1795,FALSE,FALSE,NA,NA
"#untitledunmastered Autographed Vinyl &amp; CDs Available Now https://t.co/7KGwbb7NBp",FALSE,3401,NA,2016-03-10 23:27:53,FALSE,NA,"708071911167668224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1224,FALSE,FALSE,NA,NA
"Final Winner #8. https://t.co/ZW6gOozgZn #untitledlyrics",FALSE,1327,NA,2016-03-10 01:33:43,FALSE,NA,"707741188275568644",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",285,FALSE,FALSE,NA,NA
"Question #8: Who’s misleading? #untitledlyrics",FALSE,2712,NA,2016-03-10 01:16:29,FALSE,NA,"707736853286232065",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",885,FALSE,FALSE,NA,NA
"Winner #7. *must use hashtag #untitledlyrics https://t.co/SWWpAb47Gq",FALSE,1465,NA,2016-03-10 01:11:42,FALSE,NA,"707735649143533568",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",349,FALSE,FALSE,NA,NA
"Question #7: What’s on the dashboard? #untitledlyrics",FALSE,1968,NA,2016-03-10 01:06:09,FALSE,NA,"707734252356382721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",665,FALSE,FALSE,NA,NA
"Winner #6. *must use hashtag #untitledlyrics https://t.co/g4IcT5YbK2",FALSE,1139,NA,2016-03-10 01:05:33,FALSE,NA,"707734102770749440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",294,FALSE,FALSE,NA,NA
"Question #6: What do I ride in? #untitledlyrics",FALSE,1929,NA,2016-03-10 01:00:55,FALSE,NA,"707732937190416384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",595,FALSE,FALSE,NA,NA
"Winner #5. *must use hashtag #untitledlyrics  https://t.co/tsmz43Y5mW",FALSE,1143,NA,2016-03-10 01:00:18,FALSE,NA,"707732781065834497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",316,FALSE,FALSE,NA,NA
"Question #5: Why do they go wrong? #untitledlyrics",FALSE,1982,NA,2016-03-10 00:54:42,FALSE,NA,"707731370609520640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",755,FALSE,FALSE,NA,NA
"Winner #4. *must use hashtag #untitledlyrics https://t.co/X3aUrIG5EC",FALSE,1183,NA,2016-03-10 00:54:06,FALSE,NA,"707731218566029312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",328,FALSE,FALSE,NA,NA
"Question #4: Who’s on the Intro to untitled 01?",FALSE,2110,NA,2016-03-10 00:46:08,FALSE,NA,"707729213021757440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",654,FALSE,FALSE,NA,NA
"Winner #3. *must use hashtag #untitledlyrics https://t.co/b6ibYxEdM3",FALSE,1282,NA,2016-03-10 00:45:29,FALSE,NA,"707729050219905029",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",355,FALSE,FALSE,NA,NA
"Question #3: What did Kendrick confess? #untitledlyrics",FALSE,2355,NA,2016-03-10 00:39:24,FALSE,NA,"707727522532724737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",788,FALSE,FALSE,NA,NA
"Winner #2. *must use hashtag #untitledlyrics  https://t.co/FF0ZjXH59X",FALSE,1602,NA,2016-03-10 00:38:27,FALSE,NA,"707727282173902848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",537,FALSE,FALSE,NA,NA
"Question #2: What is power? #untitledlyrics",FALSE,3421,NA,2016-03-10 00:27:17,FALSE,NA,"707724471151366145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1471,FALSE,FALSE,NA,NA
"Winner #1. *must use hashtag #untitledlyrics  https://t.co/G2BhhA87VB",FALSE,1689,NA,2016-03-10 00:26:25,FALSE,NA,"707724252179353601",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",430,FALSE,FALSE,NA,NA
"Question #1: Who’s evenly odd? #untitledlyrics",FALSE,5018,NA,2016-03-10 00:00:17,FALSE,NA,"707717676202758144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",2028,FALSE,FALSE,NA,NA
". #untitledlyrics https://t.co/Bfxxfhekb9",FALSE,13453,NA,2016-03-09 03:17:20,FALSE,NA,"707404876599283715",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",6263,FALSE,FALSE,NA,NA
"untitled 05 | 09.21.2014. https://t.co/kWLvhF7l5J",FALSE,16047,NA,2016-03-07 22:47:03,FALSE,NA,"706974471932891136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",9874,FALSE,FALSE,NA,NA
"untitled 08 | 09.06.2014. https://t.co/zCsu4rvKvo",FALSE,28454,NA,2016-03-07 02:47:46,FALSE,NA,"706672660063727616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",21095,FALSE,FALSE,NA,NA
"https://t.co/Q2PuBx8y2b",FALSE,6957,NA,2016-03-06 03:09:16,FALSE,NA,"706315683768893440",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","kendricklamar",3020,FALSE,FALSE,NA,NA
"untitled 03 | 05.28.2013. https://t.co/7iq3ovo6Ka",FALSE,31697,NA,2016-03-06 00:07:55,FALSE,NA,"706270048143306753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",23540,FALSE,FALSE,NA,NA
"Demos from To Pimp A Butterfly. In Raw Form. Unfinished. Untitled. Unmastered. https://t.co/YlAszcK4e4",FALSE,22152,NA,2016-03-04 17:50:41,FALSE,NA,"705812724563849216",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","kendricklamar",12985,FALSE,FALSE,NA,NA
"untitled unmastered. https://t.co/YlAszcK4e4",FALSE,74829,NA,2016-03-04 04:05:59,FALSE,NA,"705605181182849028",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",77076,FALSE,FALSE,NA,NA
"Congrats to family @BJTHECHICAGOKID on his debut. https://t.co/K6QCBFFEPe From the ground up champ!",FALSE,4092,NA,2016-02-23 18:24:05,FALSE,NA,"702197251184046080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",1590,FALSE,FALSE,NA,NA
"Compton. https://t.co/RRVoam3xSn",FALSE,20910,NA,2016-02-13 03:04:55,FALSE,NA,"698342058075955201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",9557,FALSE,FALSE,NA,NA
"Wait. Last one. 100 https://t.co/g7ZOvOF8Zr",FALSE,6054,NA,2016-02-08 22:33:41,FALSE,NA,"696824248673787904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",3267,FALSE,FALSE,NA,NA
"Last one. Dedicated to my Ese homie baby whisper. Somebody get this cat his own show. 100. https://t.co/MAAV9z0xMh",FALSE,4870,NA,2016-02-08 22:24:16,FALSE,NA,"696821876971016192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",2582,FALSE,FALSE,NA,NA
"Whoever this guy is, is funny. Lol https://t.co/1B2NAmWLsY",FALSE,6745,NA,2016-02-08 21:15:42,FALSE,NA,"696804621017178112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",3441,FALSE,FALSE,NA,NA
"Congrats to @annathewise https://t.co/nW7ya7leGZ",FALSE,2659,NA,2016-02-03 20:38:55,FALSE,NA,"694983425019654144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",833,FALSE,FALSE,NA,NA
"TO PIMP A BUTTERFLY. https://t.co/jaMCXJpucg",FALSE,6937,NA,2016-01-26 00:43:44,FALSE,NA,"691783544855740416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",2934,FALSE,FALSE,NA,NA
"MLK 4EVER.",FALSE,29465,NA,2016-01-18 23:32:12,FALSE,NA,"689228828477030400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",19874,FALSE,FALSE,NA,NA
"https://t.co/WWRIasuImt Please Do.",FALSE,3604,NA,2016-01-15 22:14:24,FALSE,NA,"688122083943944192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",1770,FALSE,FALSE,NA,NA
"@KamasiW @robertglasper when did yall make a connection with the music of  @herbiehancock ?",FALSE,408,"KamasiW",2016-01-15 02:53:27,FALSE,"687827657510158340","687829923776446464","385619175","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",115,FALSE,FALSE,NA,NA
"@robertglasper who are some of the jazz musicians that inspired you?",FALSE,505,"robertglasper",2016-01-15 02:33:42,FALSE,"687824304923344896","687824951269720066","154953218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",170,FALSE,FALSE,NA,NA
"@robertglasper @KamasiW @terracemartin @SounwaveTDE from my fans with luv. What is jazz fusion?",FALSE,550,"robertglasper",2016-01-15 02:00:03,FALSE,NA,"687816485297733632","154953218","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",221,FALSE,FALSE,NA,NA
"classic leather. 1/16 https://t.co/YvDBTmGZQO",FALSE,3266,NA,2016-01-15 01:05:27,FALSE,NA,"687802742073524224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",1976,FALSE,FALSE,NA,NA
"@AjaLBrown I appreciate that. HUBLUV.",FALSE,808,"AjaLBrown",2016-01-14 19:14:24,FALSE,"687665481143037952","687714400363384832","1173297636","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",282,FALSE,FALSE,NA,NA
"pay it forward. https://t.co/SdZAcYTljj",FALSE,10552,NA,2016-01-12 00:51:58,FALSE,NA,"686712188816375809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",7373,FALSE,FALSE,NA,NA
"What a honor, what a soul. David Bowie, Spirit of Gold. RIP.",FALSE,24478,NA,2016-01-11 17:03:13,FALSE,NA,"686594223005515777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",12064,FALSE,FALSE,NA,NA
"Hoping 2 meet u after we heard the news. At Brock's house watchin your Doc's &amp; interviews. But no lens could ever capture your point of view",FALSE,7052,NA,2016-01-11 17:01:18,FALSE,NA,"686593741168050176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",2581,FALSE,FALSE,NA,NA
"https://t.co/sK0nmjZpdd",FALSE,1415,NA,2016-01-08 22:30:35,FALSE,NA,"685589441570705408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",479,FALSE,FALSE,NA,NA
"I love women. And your inspiring woman on a daily. You did it the honest way. From the ground up. I respect it all. Congrats. @KarenCivil",FALSE,5726,"KarenCivil",2016-01-08 22:29:12,FALSE,"663224388926488576","685589095217680384","16490974","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",2188,FALSE,FALSE,NA,NA
"God Is Gangsta. https://t.co/e2qrnOOoZF",FALSE,11373,NA,2015-12-31 12:03:03,FALSE,NA,"682532416783777792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",9972,FALSE,FALSE,NA,NA
"pull up. RAIN OR SHINE. 12P https://t.co/ZwQYoUBwWZ",FALSE,3916,NA,2015-12-22 19:19:16,FALSE,NA,"679380704946290688",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","kendricklamar",1512,FALSE,FALSE,NA,NA
"Ayyyeeee #VoteForZoe https://t.co/pyV5wzU0sE",FALSE,741,NA,2015-12-16 19:44:59,FALSE,NA,"677212849026940928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",298,FALSE,FALSE,NA,NA
". https://t.co/BjfkiJD3jh https://t.co/pU4M0vs0tS",FALSE,8796,NA,2015-12-16 01:22:37,FALSE,NA,"676935429715845121",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kendricklamar",5585,FALSE,FALSE,NA,NA
"Everybody wish TopDawg @dangerookipawaa a happy bday. The Last nigga to smoke but the first one to poke. Old young nigga.",FALSE,3085,NA,2015-04-20 19:13:53,FALSE,NA,"590231934917214208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",1168,FALSE,FALSE,NA,NA
"I love Yall. K.I.G. Love.",FALSE,8092,NA,2015-04-16 00:52:26,FALSE,NA,"588505193874006016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",3585,FALSE,FALSE,NA,NA
"@TariqElmadawy for free.",FALSE,1655,"TariqElmadawy",2015-04-16 00:26:07,FALSE,"588496421730406401","588498568064802818","442250733","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",661,FALSE,FALSE,NA,NA
"@PrettyChic_ its interesting",FALSE,396,"PrettyChic_",2015-04-16 00:24:57,FALSE,NA,"588498278141964288","39369230","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kendricklamar",96,FALSE,FALSE,NA,NA
