"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"rolln down the street https://t.co/z0KbXm2DYO https://t.co/6wEyJuL3vf",FALSE,383,NA,2016-11-29 17:02:09,FALSE,NA,"803645233158176768",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",111,FALSE,FALSE,NA,NA
"https://t.co/I03Cd9DcgO https://t.co/yDHemO2Cka",FALSE,533,NA,2016-11-29 17:01:18,FALSE,NA,"803645021807398913",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",160,FALSE,FALSE,NA,NA
"everyday !!!! https://t.co/OlX2deX6xz https://t.co/yrjAO874tv https://t.co/RfQhxJcGTa",FALSE,652,NA,2016-11-29 17:01:08,FALSE,NA,"803644978652057601",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",186,FALSE,FALSE,NA,NA
".@MarthaStewart keepn it Ì†ΩÌ≤Ø Ì†ΩÌ∏Ç #MarthaAndSnoop",FALSE,469,NA,2016-11-29 06:28:41,FALSE,NA,"803485816244736000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",113,FALSE,FALSE,NA,NA
"U forreal rite now @MarthaStewart ?! Ì†ΩÌ∏´ #MarthaAndSnoop",FALSE,390,NA,2016-11-29 06:23:46,FALSE,NA,"803484579185070080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",66,FALSE,FALSE,NA,NA
"This what a playa like me drinkn out of. #pimpycup #MarthaAndSnoop https://t.co/Xr0DZqHYFE",FALSE,593,NA,2016-11-29 06:02:37,FALSE,NA,"803479256860803072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",138,FALSE,FALSE,NA,NA
"Where u goin @KekePalmer ?? U just gon bounce like that ? #MarthaAndSnoop",FALSE,363,NA,2016-11-29 03:20:01,FALSE,NA,"803438338300583936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",78,FALSE,FALSE,NA,NA
"Major key swag @djkhaled Ì†ΩÌπåÌ†ºÌøæ #MarthaAndSnoop",FALSE,488,NA,2016-11-29 03:15:28,FALSE,NA,"803437191779074048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",109,FALSE,FALSE,NA,NA
"This how a boss make bacon. Uhearme. #MarthaAndSnoop #BaconLove",FALSE,573,NA,2016-11-29 03:14:02,FALSE,NA,"803436832100753409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",114,FALSE,FALSE,NA,NA
"This how u drinkn out of a pimpy cup #MarthaAndSnoop",FALSE,605,NA,2016-11-29 03:03:44,FALSE,NA,"803434238796124172",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",138,FALSE,FALSE,NA,NA
"https://t.co/nvGMiJDMyH https://t.co/2TXnv3JK0R",FALSE,260,NA,2016-11-29 01:51:33,FALSE,NA,"803416074599493632",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",32,FALSE,FALSE,NA,NA
"DJ SNOOPADELIC x !Ì†ΩÌ±ÄÌ†ΩÌ≤µÌ†ΩÌ≤®x 12.8.16 x C TOWN x @psmgkilla Ì†ΩÌ≥ΩÌ†ΩÌ≥ΩÌ†ΩÌ≥ΩÌ†ΩÌ≥Ωx SPONSORED BY @snoopspremium x @‚Ä¶ https://t.co/ueE6r4RMWN https://t.co/N40f03jNC3",FALSE,187,NA,2016-11-29 00:56:26,FALSE,NA,"803402203792867329",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",55,FALSE,FALSE,NA,NA
"wake n bake. Tonite. @DJKhaled @RobinThicke @KekePalmer comn over for breakfast wit me n @MarthaStewart Ì†ºÌΩ≥ ‚ú®‚Ä¶ https://t.co/oPNnPneZjp",FALSE,732,NA,2016-11-29 00:39:43,TRUE,NA,"803397997975343104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",203,FALSE,FALSE,NA,NA
"https://t.co/OlX2dfeHW9  get urs now !!! https://t.co/pH0yqDi71I https://t.co/XGFtTPiT0f",FALSE,327,NA,2016-11-28 20:48:11,FALSE,NA,"803339731593531392",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",84,FALSE,FALSE,NA,NA
"cyber. MONDAZE ‚ú® Ì†ºÌΩÉ Ì†ΩÌ≤®  @gpen cyber monday sale. up to 50% off + mystery boxes thru midnight. get it now‚Ä¶ https://t.co/V31D53z9oy",FALSE,729,NA,2016-11-28 19:37:06,TRUE,NA,"803321841125232641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SnoopDogg",139,FALSE,FALSE,NA,NA
"https://t.co/gegSQ6yNjj https://t.co/3YRNzttG0m",FALSE,258,NA,2016-11-28 17:53:07,FALSE,NA,"803295674523676672",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",40,FALSE,FALSE,NA,NA
"https://t.co/2FiezxgXpf https://t.co/0h1lUjLeui",FALSE,404,NA,2016-11-28 17:49:58,FALSE,NA,"803294881171066882",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",71,FALSE,FALSE,NA,NA
"#getdeez now for the holidays. https://t.co/OlX2dfeHW9 https://t.co/KQwrPRDBoK https://t.co/E2S1bJeZcW",FALSE,190,NA,2016-11-28 17:05:09,FALSE,NA,"803283601903284224",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",45,FALSE,FALSE,NA,NA
"https://t.co/HdJxLEe9vb https://t.co/0aa2CwGYq3",FALSE,768,NA,2016-11-28 05:26:02,FALSE,NA,"803107661679980545",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",163,FALSE,FALSE,NA,NA
"92.  G. https://t.co/zepbh8fnWA https://t.co/EESqzGiKDI",FALSE,1023,NA,2016-11-28 04:35:12,FALSE,NA,"803094871435255808",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",307,FALSE,FALSE,NA,NA
"https://t.co/ZWVS90mYf1 https://t.co/vHQSnqvivF",FALSE,253,NA,2016-11-28 04:33:44,FALSE,NA,"803094501342461952",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",50,FALSE,FALSE,NA,NA
"https://t.co/ClwS7Ld7xV https://t.co/5ZG0J1uJJo",FALSE,328,NA,2016-11-28 04:28:45,FALSE,NA,"803093248185139200",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",46,FALSE,FALSE,NA,NA
"blessn yall for the holidays https://t.co/OlX2deX6xz¬†#getdeez https://t.co/suxdB47hk1",FALSE,419,NA,2016-11-28 04:04:34,FALSE,NA,"803087162958716929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SnoopDogg",113,FALSE,FALSE,NA,NA
"Up next https://t.co/riIlEWW13Y https://t.co/ciAInJNkvh",FALSE,510,NA,2016-11-28 03:23:05,FALSE,NA,"803076721121574912",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",96,FALSE,FALSE,NA,NA
"https://t.co/R7YSGOrxQH https://t.co/zs1GVPSMWi",FALSE,776,NA,2016-11-28 03:01:32,FALSE,NA,"803071300109475840",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","SnoopDogg",152,FALSE,FALSE,NA,NA
