"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#WATCH #basel #thenextlevel @deleontequila @revolttv https://t.co/ZgcVLIAwKh",FALSE,37,NA,2016-12-01 07:19:23,FALSE,NA,"804223353393475584",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",6,FALSE,FALSE,NA,NA
"#TeamLOVE #basel @deleontequila #thenextlevel https://t.co/Mt3OjRoEuA",FALSE,41,NA,2016-12-01 07:16:40,FALSE,NA,"804222667008118784",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",9,FALSE,FALSE,NA,NA
"@deleontequila #thenextlevel #tryit #WATCH https://t.co/UxDQ4dSGBe",FALSE,4,"DeLeonTequila",2016-12-01 01:25:07,FALSE,NA,"804134197648461824","32221684","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",3,FALSE,FALSE,NA,NA
"@deleontequila #thenextlevel @frenchmontana https://t.co/mtENT73LeI",FALSE,3,"DeLeonTequila",2016-11-30 18:33:30,FALSE,NA,"804030609643470849","32221684","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",2,FALSE,FALSE,NA,NA
"#LEGEND #TeamLOVE #thenextlevel @maryjblige https://t.co/yMsZj0wnXV",FALSE,73,NA,2016-11-30 03:49:22,FALSE,NA,"803808111115075585",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",48,FALSE,FALSE,NA,NA
"#takeDat #TeamLOVE #thenextlevel #mood #GodSentMeHereToInspireYOU https://t.co/L5YK6kiUci",FALSE,63,NA,2016-11-30 03:21:18,FALSE,NA,"803801048427143168",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",22,FALSE,FALSE,NA,NA
"@_maxwell_ an ME #thenextlevel #TeamLOVE @deleontequila https://t.co/fbtvzQNyrS",FALSE,23,"_MAXWELL_",2016-11-30 03:14:35,FALSE,NA,"803799356155580416","16463853","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",18,FALSE,FALSE,NA,NA
"#mood https://t.co/gNGl6iTOOK",FALSE,45,NA,2016-11-29 22:11:46,FALSE,NA,"803723150685044736",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",13,FALSE,FALSE,NA,NA
"Just posted a photo https://t.co/npNc8XBEVl",FALSE,39,NA,2016-11-29 16:14:57,FALSE,NA,"803633357020164096",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",7,FALSE,FALSE,NA,NA
"#GodSentMeHereToInspireYOU https://t.co/ZFQkND1CiD",FALSE,44,NA,2016-11-29 16:11:42,FALSE,NA,"803632536115146752",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",15,FALSE,FALSE,NA,NA
"#takeDat #TeamLOVE #thenextlevel @deleontequila https://t.co/WWMDIM0YqA",FALSE,45,NA,2016-11-29 16:10:31,FALSE,NA,"803632241498726401",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",13,FALSE,FALSE,NA,NA
"#takeDat https://t.co/8M4d6pciMK",FALSE,40,NA,2016-11-29 16:10:00,FALSE,NA,"803632109554438144",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",7,FALSE,FALSE,NA,NA
"Good morning world!!! #LetsGetIt #GodSentMeHereToInspireYOU https://t.co/wrAeSzRHL6",FALSE,139,NA,2016-11-29 16:07:51,FALSE,NA,"803631571219730432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",60,FALSE,FALSE,NA,NA
"#TeamLOVE #TeamLOVE #TeamLOVE https://t.co/vplKQm9B0H",FALSE,51,NA,2016-11-29 04:10:22,FALSE,NA,"803451006768005120",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",29,FALSE,FALSE,NA,NA
"#TeamLOVE #TeamLOVE https://t.co/X55ngsMNti",FALSE,39,NA,2016-11-29 04:07:05,FALSE,NA,"803450182784479232",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",11,FALSE,FALSE,NA,NA
"#TeamLOVE https://t.co/zY2uULaDkX",FALSE,38,NA,2016-11-29 04:05:23,FALSE,NA,"803449754327875585",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",15,FALSE,FALSE,NA,NA
"#mood @deleontequila #thenextlevel https://t.co/SAFRbB9nTI",FALSE,47,NA,2016-11-28 22:57:38,FALSE,NA,"803372307221741568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",14,FALSE,FALSE,NA,NA
"Happy birthday BERRY GORDY https://t.co/TrIPKc1zWx",FALSE,88,NA,2016-11-28 20:49:30,FALSE,NA,"803340060494020609",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",26,FALSE,FALSE,NA,NA
"Join us in Miami! #ArtOfDaring live art &amp; @jheneaiko performance! RSVP: https://t.co/4vwiKqQln8 @Cadillac @RevoltTV https://t.co/GcQQhJEk38",FALSE,155,NA,2016-11-28 17:34:31,FALSE,NA,"803290990073131008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",60,FALSE,FALSE,NA,NA
"Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç @noreaga @djEFN https://t.co/NqVnR1yfJ9 Ì†ºÌøÜ https://t.co/l2rsmBCPih",FALSE,76,NA,2016-11-28 01:04:31,FALSE,NA,"803041848038215680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",39,FALSE,FALSE,NA,NA
"#DrinkChampsOnREVOLT #takeDat https://t.co/anc11rmv7Y https://t.co/9BoeJiuiIa",FALSE,37,NA,2016-11-28 00:28:50,FALSE,NA,"803032869199314944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",10,FALSE,FALSE,NA,NA
"Spread the word!! The #1 podcast podcast n the world!! @Drinkchamps @noreaga https://t.co/anc11rmv7Y https://t.co/XBQIpEtwSY",FALSE,34,NA,2016-11-28 00:25:42,FALSE,NA,"803032079504179202",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",16,FALSE,FALSE,NA,NA
"Let's GO!!! Press play on that new @Drinkchamps podcast now!! @noreaga https://t.co/anc11rE5Zw https://t.co/gFtdGpn439",FALSE,25,NA,2016-11-28 00:24:28,FALSE,NA,"803031771818311680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",7,FALSE,FALSE,NA,NA
"You gotta hear it for yourself! https://t.co/anc11rmv7Y @noreaga @djEFN @RevoltTV  https://t.co/VMxRuCJMlP",FALSE,30,NA,2016-11-28 00:20:18,FALSE,NA,"803030720654479361",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",14,FALSE,FALSE,NA,NA
"Listen NOW at https://t.co/anc11rmv7Y!!! @noreaga @djEFN @RevoltTV  https://t.co/zR0ZTgY3FY",FALSE,28,NA,2016-11-28 00:19:34,FALSE,NA,"803030539108237312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",11,FALSE,FALSE,NA,NA
"let's GO!! @noreaga @djEFN @RevoltTV https://t.co/anc11rmv7Y https://t.co/B144GsrfM0",FALSE,25,NA,2016-11-28 00:18:57,FALSE,NA,"803030383348645888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",7,FALSE,FALSE,NA,NA
"Welcome to #TheNextLevel! #DeleonNIGHTS https://t.co/DNMSvarhdU",FALSE,37,NA,2016-11-28 00:15:25,FALSE,NA,"803029492855951365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamdiddy",13,FALSE,FALSE,NA,NA
"Love you baby !  Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç https://t.co/8izFH9SDMe",FALSE,71,NA,2016-11-24 19:04:51,FALSE,NA,"801864172237651968",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",28,FALSE,FALSE,NA,NA
"@deleontequila #thenextlevel #happythanksgiving https://t.co/SWjS0JsKEv",FALSE,0,"DeLeonTequila",2016-11-24 19:03:45,FALSE,NA,"801863895602364416","32221684","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",0,FALSE,FALSE,NA,NA
"@deleontequila #thenextlevel #thenextlevel #tryit https://t.co/TODPxDhZDS",FALSE,2,"DeLeonTequila",2016-11-24 19:01:49,FALSE,NA,"801863410090704898","32221684","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","iamdiddy",1,FALSE,FALSE,NA,NA
